Order ID,Job ID,Job Name,Job Description,Print Description,Proof Image URL,
,,,,,,
10675,539,SuperMega Foxy,Small girl's white,,,
10678,540,Marine ROTC Shirts,Maize ink on front and back of black shirts.,"1C-F, 1C-B",,
10682,541,Shepard of the Lakes,"Black Hanes Tagless Tees, short and long sleeve. White ink, left chest imprint @ 4.25"" wide.",1C-LC,,
10714,542,Revolution Jerseys,,,,
10716,543,Roly Poly T-shirt Trade,Tan shirts with two color print on chest. Sand polo.,2C-F,,
10720,544,Phi Chi Theta Rush Shirts,Safety Green Gildan 2000 shirts with black ink on front and back. Glow in the dark ink laid over the black.,"1C-F, 1C-B",,
10779,545,Help the Bear,Military Green Gildan 2000 t-shirts. Creme colored ink on front.,1C-F,,
10782,547,Slayton,Black shirts with three inks. Full chest. Red and yellow halftone-ed over white.,3C-F,,
10783,548,UM Ski and Snowboard Club,Navy blue t-shirts with maize ink on front and back. Our logo on left sleeve (opposite left chest print).,"1C-F, 1C-B, 1C-LSP",,
10792,550,Ballin Out of Control,Black shirts with white and maize ink on front. Gold numbers on back + our logo in gold on back.,"2C-F, 1C-B",,
10816,551,Bombsquad January 2011,,,,
10845,552,Allegra Printing: UM Nursing,Gildan 5400 long sleeve navy t-shirts. PMS 143 ink.,1C-F,,
10922,553,Black Totes,Lavender ink on front and back.,"1C-F, 1C-B",,
11078,554,"Pi Kapps 70 Man Wolf Pack, Round 2",Navy blue shirts with light blue and white ink.,2C-F,,
11079,555,Pro Tech Guard,Black polos with white and turquoise print on left chest.,2C-LC,,
11089,556,Zombie Etiquette,Orange shirts with black ink on front and back.,"1C-F, 1C-B",,
11095,562,Personal T-shirt,Sunshine / daisy t-shirt. Navy ink.,1C-F,,
11095,558,Warm-up Jacket,Augusta Sportswear 4410 Navy,,,
11095,560,Golf Polo,"Badger 3345, Navy",,,
11095,561,J. America - Sport Lace Hooded Sweatshirt,Navy,,,
11095,563,Michigan Block MaizeT-Shirt,Sunshine / daisy t-shirt. Navy ink.,1C-F,,
